setting	exposure	outcome	n	beta	lo	hi	p	q
S3_nonTCGA_PCAWG	ploidy	cytolytic	421	-0.020175500264518444	-0.1100389462168596	0.0696879456878227	0.659211513124125	0.7324572368045833
S3_nonTCGA_PCAWG	ploidy	cd8_tcell	421	-0.03156897590489083	-0.12270302983456295	0.059565078024781296	0.49630584754467655	0.659171029382786
S3_nonTCGA_PCAWG	ploidy	apm	421	-0.02203677872263728	-0.09954779647533926	0.05547423903006471	0.5765642145871059	0.6918770575045271
S3_nonTCGA_PCAWG	ploidy	isg	421	-0.09238630094835404	-0.16873075583255953	-0.016041846064148546	0.017822998085862053	0.221000492471731
S3_nonTCGA_PCAWG	ploidy	cgas_sting	421	-0.0669076739924177	-0.1172139366243746	-0.016601411360460817	0.009263417573424183	0.18526835146848364
S3_nonTCGA_PCAWG	ploidy	tcell_inflamed	421	-0.026562198136716078	-0.09211064177280978	0.038986245499377625	0.42616673768247293	0.623658640510936
S3_nonTCGA_PCAWG	ploidy	treg	421	-0.08175681826050857	-0.14966787442543325	-0.013845762095583886	0.018416707705977583	0.221000492471731
S3_nonTCGA_PCAWG	ploidy	myeloid	421	-0.03640875294576652	-0.10991319438402368	0.03709568849249063	0.33079504889996253	0.5854405362156586
S3_nonTCGA_PCAWG	ploidy	tgfb_stroma	421	-0.032653356239631906	-0.10691639594870168	0.04160968346943787	0.3879188924948085	0.5854405362156586
S3_nonTCGA_PCAWG	ploidy	exhaustion	421	-0.03177666806034196	-0.1044089950957327	0.04085565897504878	0.3902936908104391	0.5854405362156586
S3_nonTCGA_PCAWG	chromo	cytolytic	421	-0.05210230567943762	-0.2527225247866874	0.14851791342781212	0.6099738762783615	0.7145816600588631
S3_nonTCGA_PCAWG	chromo	cd8_tcell	421	-0.004199333888047205	-0.20778492380794183	0.1993862560318474	0.9676775537187544	0.9785944429363893
S3_nonTCGA_PCAWG	chromo	apm	421	-0.1536246491586919	-0.3261137795577985	0.01886448124041476	0.08073442717337406	0.38635771069198016
S3_nonTCGA_PCAWG	chromo	isg	421	-0.04339397452345857	-0.21494817002853867	0.12816022098162155	0.6193041053843481	0.7145816600588631
S3_nonTCGA_PCAWG	chromo	cgas_sting	421	0.05322586996816491	-0.05989252727537627	0.1663442672117061	0.3555471204938431	0.5854405362156586
S3_nonTCGA_PCAWG	chromo	tcell_inflamed	421	-0.08084776111821801	-0.22710065205288849	0.06540512981645247	0.27783661644072455	0.5758056982383462
S3_nonTCGA_PCAWG	chromo	treg	421	-0.05041215291586716	-0.20297315002759508	0.10214884419586077	0.5163506396831824	0.659171029382786
S3_nonTCGA_PCAWG	chromo	myeloid	421	-0.07290546919482782	-0.23705363505418056	0.09124269666452492	0.38314333222242114	0.5854405362156586
S3_nonTCGA_PCAWG	chromo	tgfb_stroma	421	0.12678519438853508	-0.03871927513243842	0.2922896639095086	0.13287388200930822	0.4689666423857937
S3_nonTCGA_PCAWG	chromo	exhaustion	421	-0.03725345870347568	-0.19952210619622876	0.1250151887892774	0.6520251042471894	0.7324572368045833
S3_nonTCGA_PCAWG	chromo_any	cytolytic	421	-0.105939802303804	-0.29532415495302883	0.08344455034542082	0.2721510376414969	0.5758056982383462
S3_nonTCGA_PCAWG	chromo_any	cd8_tcell	421	-0.06519095253505569	-0.25749091604342195	0.12710901097331057	0.5055400774220986	0.659171029382786
S3_nonTCGA_PCAWG	chromo_any	apm	421	-0.11580604150914527	-0.2790375375659985	0.047425454547707926	0.16389057172396784	0.4987099461262957
S3_nonTCGA_PCAWG	chromo_any	isg	421	-0.056688282746983364	-0.21877465095392812	0.10539808545996138	0.4921653092055778	0.659171029382786
S3_nonTCGA_PCAWG	chromo_any	cgas_sting	421	0.0028549318383955594	-0.10415873569991499	0.1098685993767061	0.9582028068144693	0.9785944429363893
S3_nonTCGA_PCAWG	chromo_any	tcell_inflamed	421	-0.12164220101250975	-0.2595603092142448	0.016275907189225253	0.0837108373165957	0.38635771069198016
S3_nonTCGA_PCAWG	chromo_any	treg	421	-0.13431134085663088	-0.2779840282998993	0.009361346586637592	0.0668339655825105	0.38635771069198016
S3_nonTCGA_PCAWG	chromo_any	myeloid	421	-0.09677977213861107	-0.25177271727229034	0.05821317299506819	0.22036794723691727	0.5509198680922931
S3_nonTCGA_PCAWG	chromo_any	tgfb_stroma	421	0.08709602411304394	-0.06951715956641981	0.2437092077925077	0.27495829465180216	0.5758056982383462
S3_nonTCGA_PCAWG	chromo_any	exhaustion	421	-0.09815198279527519	-0.25125285967386735	0.054948894083316976	0.2083099743014509	0.5434173242646545
S3_nonTCGA_PCAWG	PGA	cytolytic	421	-0.05156166846457137	-0.1422789038204681	0.039155566891325363	0.26453379980614244	0.5758056982383462
S3_nonTCGA_PCAWG	PGA	cd8_tcell	421	-0.08423029870158857	-0.1760401713285316	0.007579573925354452	0.07204883849451466	0.38635771069198016
S3_nonTCGA_PCAWG	PGA	apm	421	-0.023332091144623847	-0.1016754154130887	0.05501123312384099	0.5585869566228238	0.6839840285177434
S3_nonTCGA_PCAWG	PGA	isg	421	-0.0856884426971275	-0.16293815354315133	-0.00843873185110365	0.029786352557909207	0.28962667439708417
S3_nonTCGA_PCAWG	PGA	cgas_sting	421	-0.04145579494115451	-0.09256356178266961	0.009651971900360587	0.11159465061422949	0.4689666423857937
S3_nonTCGA_PCAWG	PGA	tcell_inflamed	421	-0.04683435353452485	-0.11298600887511472	0.019317301806065015	0.16476620042683474	0.4987099461262957
S3_nonTCGA_PCAWG	PGA	treg	421	-0.07086061205857033	-0.13962529457759965	-0.0020959295395410332	0.04344400115956262	0.28962667439708417
S3_nonTCGA_PCAWG	PGA	myeloid	421	-0.02224217117716632	-0.09659218553694385	0.05210784318261121	0.5568240603285544	0.6839840285177434
S3_nonTCGA_PCAWG	PGA	tgfb_stroma	421	0.004423103473619482	-0.07070609769315486	0.07955230464039384	0.907925869701867	0.955711441791439
S3_nonTCGA_PCAWG	PGA	exhaustion	421	-0.05622192522001579	-0.12950235232245966	0.017058501882428065	0.1322879359111804	0.4689666423857937
S3_nonTCGA_PCAWG	n_high	cytolytic	421	-0.03466864358752709	-0.12393096468719894	0.05459367751214476	0.44562835094637504	0.636611929923393
S3_nonTCGA_PCAWG	n_high	cd8_tcell	421	0.012854445026951086	-0.07775396501558013	0.1034628550694823	0.7804860629437522	0.8514393413931842
S3_nonTCGA_PCAWG	n_high	apm	421	-0.08070550038274388	-0.15737005978904783	-0.004040940976439922	0.03913546730020163	0.28962667439708417
S3_nonTCGA_PCAWG	n_high	isg	421	-0.04011603516998385	-0.11640038349216181	0.036168313152194105	0.30187724468083854	0.5854405362156586
S3_nonTCGA_PCAWG	n_high	cgas_sting	421	0.0006883791454142182	-0.04971260211426581	0.05108936040509424	0.9785944429363893	0.9785944429363893
S3_nonTCGA_PCAWG	n_high	tcell_inflamed	421	-0.03595054254725421	-0.10104841102533074	0.02914732593082233	0.2783060874818673	0.5758056982383462
S3_nonTCGA_PCAWG	n_high	treg	421	-0.04601673776922505	-0.11381197787073008	0.021778502332279986	0.18286031357964175	0.4987099461262957
S3_nonTCGA_PCAWG	n_high	myeloid	421	-0.0328971589274512	-0.1059582482410028	0.040163930386100395	0.37662338905895215	0.5854405362156586
S3_nonTCGA_PCAWG	n_high	tgfb_stroma	421	0.006769630552969495	-0.06709414201326805	0.08063340311920703	0.8571191857549698	0.9183419847374676
S3_nonTCGA_PCAWG	n_high	exhaustion	421	-0.034468787575932774	-0.1066365503546468	0.037698975202781246	0.34835459010436337	0.5854405362156586
